style,road,n_trips,n_drivers,wh_per_km_baseline_mean,wh_per_km_baseline_std,wh_per_km_anticipatory_mean,wh_per_km_anticipatory_std,saved_pct_mean,saved_pct_std,regen_wh_mean,regen_wh_std,clip_rate_pct_mean,clip_rate_pct_std,oracle_upper_bound,simulation
NORMAL,MOTORWAY,5,5,135.97,10.2,135.46,10.17,0.37,0.31,758.2,208.74,0.7,0.21,True,True
NORMAL,SECONDARY,11,6,122.62,9.98,122.11,9.82,0.41,0.4,417.39,107.71,1.02,0.13,True,True
AGGRESSIVE,MOTORWAY,6,6,164.84,11.56,160.16,13.58,2.92,1.64,1335.99,352.37,0.96,0.25,True,True
AGGRESSIVE,SECONDARY,4,4,140.8,14.38,137.27,13.59,2.46,2.2,747.3,248.97,1.59,0.28,True,True
DROWSY,MOTORWAY,5,5,124.12,8.25,123.29,8.04,0.67,0.48,672.06,68.27,0.78,0.05,True,True
DROWSY,SECONDARY,6,6,131.96,9.19,131.22,9.0,0.56,0.37,408.52,124.46,1.05,0.24,True,True
